split,model,amount,level,metric,value,pvalue
1,BVCC-SOMOS,40,System,KTAU,0.5272727272727272,0.026384479717813
2,BVCC,0,Utterance,MSE,0.9721223841755352,NaN
2,BVCC,0,System,MSE,0.5037511030714491,NaN
2,BVCC,0,Utterance,LCC,-0.1210556075793178,0.2077498721796869
2,BVCC,0,Utterance,SRCC,-0.1243161484789271,0.1956756925381761
2,BVCC,0,Utterance,KTAU,-0.0850921858633666,0.1877124412104612
2,BVCC,0,System,LCC,-0.2834039034658341,0.3983860826691269
2,BVCC,0,System,SRCC,0.2454545454545454,0.4669223669820163
2,BVCC,0,System,KTAU,0.2,0.4453821448613115
2,BVCC,10,Utterance,MSE,0.388838389631673,NaN
2,BVCC,10,System,MSE,0.1940143195216011,NaN
2,BVCC,10,Utterance,LCC,0.7164155050600095,1.3799227048227084e-18
2,BVCC,10,Utterance,SRCC,0.6513174356083077,1.3161563550564656e-14
2,BVCC,10,Utterance,KTAU,0.4638358366669791,6.92065524267293e-13
2,BVCC,10,System,LCC,0.8297736174387281,0.0015764631545288
2,BVCC,10,System,SRCC,0.4454545454545455,0.1697326049268117
2,BVCC,10,System,KTAU,0.3454545454545454,0.1645733124899791
2,BVCC,20,Utterance,MSE,0.2689691985590703,NaN
2,BVCC,20,System,MSE,0.1234252336295326,NaN
2,BVCC,20,Utterance,LCC,0.8045631051251068,3.427544446183774e-26
2,BVCC,20,Utterance,SRCC,0.7640157159229485,2.787192758110151e-22
2,BVCC,20,Utterance,KTAU,0.5712855772473873,9.193539177727733e-19
2,BVCC,20,System,LCC,0.893955342027571,0.0002064587864306
2,BVCC,20,System,SRCC,0.6181818181818182,0.0426455698053266
2,BVCC,20,System,KTAU,0.4909090909090909,0.0405323573031906
2,BVCC,30,Utterance,MSE,0.2624680332151323,NaN
2,BVCC,30,System,MSE,0.1038387726282582,NaN
2,BVCC,30,Utterance,LCC,0.8055955944464372,2.6523528231049533e-26
2,BVCC,30,Utterance,SRCC,0.7744028204051044,3.3227403540731165e-23
2,BVCC,30,Utterance,KTAU,0.5776257793313244,3.7990661969527363e-19
2,BVCC,30,System,LCC,0.9037927361251687,0.0001351841119482
2,BVCC,30,System,SRCC,0.7000000000000001,0.0164709788365144
2,BVCC,30,System,KTAU,0.5636363636363636,0.0165405042488375
2,BVCC,40,Utterance,MSE,0.2203969731002453,NaN
2,BVCC,40,System,MSE,0.111870311657276,NaN
