listener,level,metric,value,pvalue
19,System,MSE,1.677238456869494,NaN
19,Utterance,LCC,0.2087780291318238,0.0286077699499709
19,Utterance,SRCC,0.2426999319345048,0.010628021031748
19,Utterance,KTAU,0.16469215000192,0.0107871456323392
19,System,LCC,0.5544707912530071,0.0767003778683001
19,System,SRCC,0.8454545454545455,0.0010451821458586
19,System,KTAU,0.6727272727272727,0.0031063111271444
20,Utterance,MSE,0.6743732260012313,NaN
20,System,MSE,0.2139260756637662,NaN
20,Utterance,LCC,0.4815536974529319,1.0048299448726623e-07
20,Utterance,SRCC,0.475783655621131,1.496290366192862e-07
20,Utterance,KTAU,0.3332221109967925,2.490019985233816e-07
20,System,LCC,0.6827527850907346,0.0205999529561889
20,System,SRCC,0.6636363636363638,0.0259841339187655
20,System,KTAU,0.5272727272727272,0.026384479717813
21,Utterance,MSE,1.425728759175739,NaN
21,System,MSE,1.0164351740961943,NaN
21,Utterance,LCC,0.2135532417156368,0.025085262484928
21,Utterance,SRCC,0.2222908486067286,0.0195927952772119
21,Utterance,KTAU,0.1510095195053065,0.019402536806658
21,System,LCC,0.6108074042415842,0.0459114988902861
21,System,SRCC,0.7363636363636363,0.0097595359599169
21,System,KTAU,0.6000000000000001,0.00994553671637
